Geo,Percent of Plays
United States,0.43
Kenya,0.3
Germany,0.06
Nigeria,0.06
Zimbabwe,0.04
India,0.03
South Africa,0.01
Spain,0.008948545861297539
Switzerland,0.006711409395973154
United Kingdom,0.006711409395973154
South Korea,0.006711409395973154
Botswana,0.006711409395973154
Egypt,0.0044742729306487695
France,0.0044742729306487695
Malawi,0.0044742729306487695
Netherlands,0.0022371364653243847
Denmark,0.0022371364653243847
Sweden,0.0022371364653243847
Nepal,0.0022371364653243847
Australia,0.0022371364653243847
Ghana,0.0022371364653243847
